key:ty9818228908;value:93957605363
key:ty311925624;value:75189876662
key:ty8306897614;value:81045455796
key:ty1846089458;value:38950742958
key:ty2896718121;value:5112209084
key:ty5372027468;value:59274580146
key:ty9141432493;value:16884897344
key:ty7828716796;value:67386515014
key:ty2039093821;value:83354666585
key:ty9384615822;value:35500160509
key:ty2016382447;value:15115855493
key:ty6266231429;value:14453735862
key:ty3614095291;value:31607824822
key:ty4948709761;value:74792024849
key:ty7391214078;value:11989073236
key:ty4028399265;value:1403609253
key:ty3088543021;value:1887331682
key:ty3336348368;value:65104079132
key:ty2731645364;value:76380086857
key:ty4483935560;value:88604068665
key:ty435162065;value:19481752513
key:5sf143434;value:97
key:3254;value:32
